Si,Fe,Cu,Mg,Zn,Ti,Zr,Sc,Mn,Al,SHT_Temperature,SHT_Time,Aging_temperature,Aging_Time,Process,Valence_electrons,Period ,Melting_temperature,Atomic_mass,Heat_of_vaporization,Group,Heat_of_fusion,Electron_negativety,Electron_affinity,Density,Boiling_temperature,Atomic_radius,Atomic_number,Young_modulus,Shear_modulus,Bulk_modulus,Covalent_radius,Poisson_ratio,Mendeleev_number,atomic_volume,Electronegativity_allred,Electronegativity_pauling,Space_group,Work_function,First_ionization_energy,d_valence_electrons,P_valence_electrons,S_valence_electrons,Lattice_a,Lattice_c,YS,El
0.007,0,0.003,0.01,0,0,0,0,0,0.98,0,0,300,3,10000,2.994,3.003,666.453,27.088,291.833,12.891,10.962,1.6099,43.4292,2.70649,2507.506,118.302,13.045,69.769,25.9774,76.05,121.163,0.34846,69.099,16.68817,1.47033,1.6099,224.704,4.19675,580.9707,0.03,0.994,1.997,170.6776388,170.6776388,234,11
0.001,0.0005,0.046,0.0035,0,0,0,0,0.0035,0.9455,525,16,200,5,1,2.955,3.05,682.759,28.77,292.582,12.847,10.8484,1.62248,46.22595,3.003475,2514.9255,119.499,13.7815,73.168,27.19595,79.0605,121.6345,0.349065,69.2025,16.398805,1.48285,1.62248,224.8675,4.210615,586.4791,0.4805,0.9475,1.954,174.6079588,174.6099275,414,5.5
0.001,0.0005,0.04,0.015,0.002,0,0,0,0,0.9415,515,12,300,4,1,2.944,3.0425,677.563,28.5265,290.55,12.7515,10.79615,1.61758,45.34595,2.946945,2496.613,119.545,13.666,72.1485,26.8072,78.154,121.7375,0.34834,69.2525,16.519205,1.478335,1.61758,224.477,4.199415,587.48255,0.423,0.9435,1.96,173.4169793,173.4181334,165,2
0,0,0,0.022,0.065,0,0,0,0.004,0.909,450,1,120,24,10000,2.917,3.069,646.524,29.476,277.768,12.669,10.44825,1.60576,39.087,2.98634,2380.95,120.326,14.131,72.432,27.121,75.104,121.577,0.34206,69.674,16.6512,1.47759,1.60576,222.271,4.178,602.8716,0.67,0.909,2,173.6998046,173.7395089,312,25.9
0.0047,0,0,0.141,0,0,0.0017,0.0031,0,0.8495,0,0,325,4,100000,2.8654,3.0065,666.8964,26.7463,270.6106,11.4074,10.63665,1.567812,37.28192,2.568819,2323.4788,122.1283,12.9344,66.3742,24.75314,71.7186,124.0167,0.340695,68.6638,17.631938,1.436167,1.567812,220.4896,4.09238,601.29165,0.0065,0.8589,2,166.3965829,166.3992529,405,9
0.003,0.001,0.0015,0.08,0,0,0,0,0,0.9145,0,0,0,0,500,2.9215,3.0025,662.9775,26.8475,280.0625,12.115,10.66445,1.587525,39.917,2.63585,2406.2295,120.2175,12.959,68.162,25.3696,73.782,122.5975,0.344735,68.949,17.1578,1.4522,1.587525,222.53,4.142605,591.2852,0.021,0.9205,1.9985,168.6628065,168.6628065,186,8
0.1,0,0,0.0035,0,0,0,0,0,0.8965,550,6,180,12,10000,3.0965,3,735.365,27.0895,299.0225,13.0615,14.623,1.63795,51.9095,2.659605,2552.0985,117.3945,13.0965,67.6125,25.9885,78.2915,120.07,0.33679,70.2965,16.975045,1.49616,1.63795,225.0915,4.247375,598.87105,0,1.0965,2,167.8688557,167.8688557,316,15.2
0.013,0,0.0028,0.008,0,0,0,0,0,0.9762,545,10,160,18,5,3.0022,3.0028,670.912,27.0926,292.5576,12.9194,11.20134,1.612182,44.0438,2.704958,2512.6414,118.2006,13.0498,69.669,25.9922,76.2432,121.0608,0.347802,69.1778,16.69585,1.472374,1.612182,224.778,4.2012,581.8711,0.028,1.0022,1.9972,170.5467512,170.5467512,350,10
0.013,0,0,0.011,0,0,0,0,0.007,0.969,530,8,160,18,5,3.009,3.007,673.794,27.106,291.532,12.85,11.2064,1.61005,43.4038,2.71791,2505.028,118.507,13.086,70.322,26.2781,76.279,121.216,0.34744,69.011,16.69903,1.47178,1.61005,224.629,4.2,582.8616,0.035,0.995,2,171.3091003,171.3131135,360,12
0.04,0.0012,0.1,0.0025,0.01,0,0,0,0,0.8463,0,0,205,8,5,2.9275,3.1112,731.2886,31.1473,294.2523,12.7965,12.46722,1.650514,53.55374,3.359379,2519.2579,120.7731,14.8219,75.5667,28.4227,83.3353,121.7732,0.342578,70.2147,16.263579,1.510304,1.650514,224.6973,4.243001,606.47303,1.1072,0.9263,1.9,177.1678015,177.1734497,165,1.5
0.01,0.006,0.1,0.0025,0.006,0,0,0,0,0.8755,510,12,170,5,1,2.9015,3.112,713.843,31.1045,293.2275,12.7465,11.3165,1.64271,50.8767,3.377535,2515.9175,121.0695,14.7815,76.7815,28.6175,83.0905,122.122,0.34659,69.6855,16.143775,1.50226,1.64271,224.7805,4.231905,599.75715,1.096,0.8955,1.9,178.6272955,178.6306568,331,4
0,0,0.0424,0.0197,0,0,0.02,0,0.0056,0.9123,0,0,0,0,100000,2.9635,3.088,705.0046,29.8905,295.3775,12.4849,10.97812,1.61045,45.0521,3.049027,2527.9071,121.6775,14.2659,72.7083,27.1951,78.7693,123.0412,0.348026,68.2171,16.650723,1.472872,1.61045,223.7245,4.182225,590.11711,0.492,0.9123,1.9576,174.0211005,174.0342289,446,3
0.0035,0,0.0028,0.006,0,0,0,0,0,0.9877,530,8,160,18,5,2.9947,3.0028,663.769,27.0891,292.2606,12.9319,10.83199,1.610027,43.2691,2.710413,2511.8799,118.2131,13.0423,69.9375,26.0083,76.0772,121.1158,0.349157,69.0563,16.649715,1.470289,1.610027,224.821,4.19795,579.56405,0.028,0.9947,1.9972,170.8930947,170.8930947,230,13
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,350,6,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,530,11.5
0,0,0,0.025,0,0,0,0,0,0.975,345,2.5,0,0,5,2.975,3,659.75,26.925,288.875,12.725,10.65,1.6025,41.925,2.67575,2483.275,118.675,12.975,69.375,25.775,75.225,121.5,0.3485,68.975,16.78175,1.464,1.6025,224.225,4.18125,581.4075,0,0.975,2,170.2099064,170.2099064,85,23
0.085,0.001,0.035,0.001,0.001,0,0,0,0,0.877,0,0,0,0,500,3.048,3.037,739.593,28.444,298.57,12.998,14.11875,1.64476,53.2127,2.89629,2550.191,118.439,13.673,70.299,26.851,80.337,120.567,0.33838,70.307,16.73247,1.50287,1.64476,225.112,4.25113,601.7247,0.366,1.047,1.965,171.0569045,171.0574895,165,3
0.065,0,0.013,0.02,0.068,0,0,0,0,0.834,0,0,165,2,100000,2.964,3.081,698.015,30.07,282.249,12.751,13.0166,1.62934,46.08,3.03985,2406.128,120.068,14.409,71.369,27.275,77.364,120.961,0.33342,70.719,16.81009,1.49931,1.62934,222.402,4.21395,618.7535,0.81,0.964,1.987,172.2700183,172.3095144,402,1.3
0,0,0,0.03,0,0,0.0025,0.0012,0.025,0.9413,0,0,0,0,100000,2.9975,3.0312,678.3947,27.5416,286.9725,12.4855,10.73461,1.5985,40.6,2.799986,2469.7782,120.1842,13.3471,72.4473,27.0886,76.1997,122.2438,0.347341,68.2629,16.73257,1.465101,1.5985,223.7553,4.180735,585.97982,0.1312,0.9413,2,173.7720072,173.7880454,430,10.9
0.01,0,0,0.006,0,0,0,0,0,0.984,415,2.5,0,0,5,3.004,3,667.48,26.992,292.67,12.944,11.081,1.6111,43.648,2.69048,2514.236,118.092,13.004,69.62,25.948,76.054,121.02,0.34834,69.124,16.68532,1.47126,1.6111,224.834,4.2005,580.4528,0,1.004,2,170.5044807,170.5044807,50,30
0.1081,0,0.0027,0.0056,0,0.0015,0,0,0,0.8821,0,0,0,0,100000,3.1013,3.0042,744.1109,27.2227,299.4275,13.0276,14.95534,1.640347,52.70246,2.674173,2553.4518,117.5544,13.1592,67.6047,26.05762,78.6446,120.1192,0.335539,70.3409,17.005723,1.498374,1.640347,224.9961,4.249925,601.47589,0.03,1.0983,1.9973,167.8269732,167.8279929,227.25,7.41
0.1,0,0,0.0035,0,0,0,0,0,0.8965,530,6,160,6,100000,3.0965,3,735.365,27.0895,299.0225,13.0615,14.623,1.63795,51.9095,2.659605,2552.0985,117.3945,13.0965,67.6125,25.9885,78.2915,120.07,0.33679,70.2965,16.975045,1.49616,1.63795,225.0915,4.247375,598.87105,0,1.0965,2,167.8688557,167.8688557,267,7
0.07,0,0,0.0035,0,0,0,0,0,0.9265,0,0,0,0,100000,3.0665,3,712.745,27.0595,297.0425,13.0315,13.444,1.62925,49.1915,2.670705,2540.6685,117.6045,13.0665,68.3025,25.9825,77.5715,120.37,0.34069,69.9065,16.872745,1.48806,1.62925,225.0315,4.232375,592.59805,0,1.0665,2,168.7782738,168.7782738,200,12
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,300,5,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,571,16
0,0,0,0.022,0.065,0,0,0,0.004,0.909,450,3,160,6,10000,2.917,3.069,646.524,29.476,277.768,12.669,10.44825,1.60576,39.087,2.98634,2380.95,120.326,14.131,72.432,27.121,75.104,121.577,0.34206,69.674,16.6512,1.47759,1.60576,222.271,4.178,602.8716,0.67,0.909,2,173.6998046,173.7395089,268,14
0,0.0012,0,0.0466,0,0,0.0033,0.0072,0.0048,0.9369,0,0,0,0,100000,2.9615,3.0198,673.6871,27.3222,286.1525,12.3509,10.69467,1.593272,40.57044,2.698454,2459.0968,120.2758,13.1721,69.6375,25.9493,74.8119,122.5626,0.346451,68.2637,16.985342,1.456875,1.593272,223.1963,4.157811,586.41876,0.045,0.9369,2,170.4614444,170.4699332,335,23
0,0,0.0525,0,0,0.0017,0,0,0.0031,0.9427,530,6,250,24,100000,2.9523,3.0573,685.8427,29.034,293.3656,12.8611,10.8421,1.62492,46.74402,3.046497,2521.1433,119.6494,13.8925,73.625,27.35145,79.5542,121.6996,0.349331,69.1649,16.346131,1.484848,1.62492,224.9225,4.21322,586.79102,0.5439,0.9427,1.9475,175.1318163,175.1346623,345,12
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,400,6,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,482,9
0.02,0.0012,0.07,0.001,0.01,0,0,0,0,0.8978,0,0,0,0,1,2.939,3.0812,703.4736,30.0218,292.9698,12.853,11.61522,1.636464,49.55624,3.180434,2512.4914,120.0626,14.3234,74.2642,27.7722,80.9818,121.6132,0.345568,69.7762,16.329074,1.496864,1.636464,224.7038,4.226626,597.01058,0.8072,0.9378,1.93,175.7775302,175.7832231,103,1.5
0.1,0,0,0.0035,0,0,0,0,0,0.8965,0,0,0,0,10000,3.0965,3,735.365,27.0895,299.0225,13.0615,14.623,1.63795,51.9095,2.659605,2552.0985,117.3945,13.0965,67.6125,25.9885,78.2915,120.07,0.33679,70.2965,16.975045,1.49616,1.63795,225.0915,4.247375,598.87105,0,1.0965,2,167.8688557,167.8688557,187,7.4
0.1081,0,0.0027,0.0056,0,0.0015,0,0,0,0.8821,0,0,350,4,100000,3.1013,3.0042,744.1109,27.2227,299.4275,13.0276,14.95534,1.640347,52.70246,2.674173,2553.4518,117.5544,13.1592,67.6047,26.05762,78.6446,120.1192,0.335539,70.3409,17.005723,1.498374,1.640347,224.9961,4.249925,601.47589,0.03,1.0983,1.9973,167.8269732,167.8279929,155.03,22.03
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,300,5,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,570,15
0,0,0,0.09,0,0,0,0.003,0.007,0.9,0,0,0,0,10000,2.917,3.01,665.845,26.91,277.714,11.938,10.5534,1.58183,38.754,2.64693,2388.117,120.929,13.018,68.658,25.5735,73.461,123.073,0.34418,68.589,17.22248,1.4485,1.58183,222.061,4.1314,592.9678,0.038,0.9,2,169.2365271,169.2422867,232,9.5
0.12,0,0,0.001,0,0,0,0,0,0.879,0,0,0,0,100000,3.119,3,750.47,27.117,300.755,13.109,15.414,1.6445,53.829,2.65463,2563.291,117.187,13.119,67.215,26.015,78.849,119.82,0.33434,70.559,17.02607,1.50216,1.6445,225.209,4.25925,602.6523,0,1.119,2,167.339429,167.339429,260,3
0,0,0.045,0.0027,0,0.0325,0,0,0,0.9198,0,0,0,0,100000,2.9848,3.0775,711.858,29.3394,297.1595,12.5878,11.0581,1.619965,45.1084,3.037581,2542.0367,121.1729,14.0098,74.1275,27.5507,79.9013,122.8165,0.348413,67.6423,16.446999,1.477077,1.619965,223.9088,4.196225,588.01231,0.515,0.9198,1.955,175.6708259,175.6919328,330,17
0.11,0,0.02,0,0,0,0,0,0.004,0.866,0,0,250,3,100000,3.094,3.024,753.784,27.922,300.108,13.046,15.079,1.64746,54.294,2.80358,2559.938,117.942,13.478,69.182,26.676,80.096,120.192,0.33538,70.466,16.87146,1.50582,1.64746,225.188,4.261,604.321,0.22,1.086,1.98,169.688332,169.6906471,250,3.2
0.0525,0.003,0.003,0.0005,0.005,0,0,0,0,0.936,0,0,0,0,1,3.044,3.011,702.289,27.439,295.6955,13.021,12.7617,1.626805,47.6631,2.73658,2531.383,117.961,13.221,69.573,26.325,77.6885,120.556,0.342435,69.703,16.75647,1.486355,1.626805,224.9465,4.228315,591.1526,0.098,1.041,1.997,170.3293017,170.3322392,55,8
0,0,0.063,0,0,0,0,0.002,0,0.935,530,20,175,8,10000,2.937,3.065,688.537,29.367,293.491,12.854,10.8555,1.62777,47.675,3.09494,2522.331,119.833,14.024,73.788,27.392,79.994,121.791,0.34923,69.262,16.3243,1.4871,1.62777,224.938,4.21385,588.0912,0.632,0.935,1.937,175.3068016,175.307894,125,8.3
0.07,0.004,0.001,0.0035,0.001,0,0,0,0,0.9205,540,12,205,5,1,3.0645,3.006,716.442,27.2505,297.0915,13.0085,13.45535,1.63046,49.1143,2.702085,2540.4675,117.8075,13.1475,68.9645,26.2455,78.0055,120.426,0.34034,69.8485,16.847205,1.48921,1.63046,225.0165,4.235445,593.82265,0.044,1.0605,1.999,169.5630121,169.5636022,164,3.5
0,0,0.044,0.015,0,0,0,0,0,0.941,493,2,0,0,10000,2.941,3.044,678.55,28.583,290.833,12.747,10.7712,1.61826,45.655,2.96089,2499.457,119.593,13.689,72.265,26.833,78.351,121.784,0.34866,69.249,16.50185,1.47872,1.61826,224.535,4.19975,587.1965,0.44,0.941,1.956,173.5523349,173.5523349,120.65,0.74
0,0,0,0.04,0,0,0.004,0.007,0.005,0.944,0,0,350,2,100000,2.969,3.02,673.477,27.352,287.358,12.424,10.7108,1.59483,40.882,2.70221,2469.287,120.109,13.184,69.656,25.9565,74.931,122.449,0.34692,68.269,16.94792,1.45816,1.59483,223.379,4.1616,585.2176,0.04,0.944,2,170.4936774,170.5025236,520,3.1
0.03,0.0012,0.04,0.001,0.005,0,0,0,0,0.9228,0,0,0,0,1,2.984,3.0462,699.4636,28.7318,294.2898,12.928,11.95597,1.630464,48.42724,2.966734,2523.0714,119.0626,13.7684,72.0442,27.0292,79.3318,121.1782,0.345068,69.6662,16.514274,1.490214,1.630464,224.8788,4.224626,592.41658,0.4572,0.9828,1.96,173.2363362,173.2392244,97,2.5
0,0,0.02,0.027,0.068,0,0,0,0,0.885,415,2.5,0,0,5,2.885,3.088,651.91,30.243,276.853,12.595,10.4642,1.61042,40.415,3.10093,2371.661,120.901,14.449,73.109,27.353,76.035,121.828,0.34138,69.909,16.60293,1.48204,1.61042,222.055,4.17795,607.4601,0.88,0.885,1.98,174.4464472,174.4854506,105,15
0.07,0.004,0.001,0.0035,0.001,0,0,0,0,0.9205,0,0,155,4,5,3.0645,3.006,716.442,27.2505,297.0915,13.0085,13.45535,1.63046,49.1143,2.702085,2540.4675,117.8075,13.1475,68.9645,26.2455,78.0055,120.426,0.34034,69.8485,16.847205,1.48921,1.63046,225.0165,4.235445,593.82265,0.044,1.0605,1.999,169.5630121,169.5636022,138,2
0.003,0.001,0.04,0.015,0.002,0,0,0,0,0.939,515,12,340,4,1,2.946,3.043,679.51,28.543,290.709,12.751,10.8763,1.61827,45.5135,2.94879,2497.546,119.55,13.674,72.173,26.8356,78.249,121.723,0.34805,69.269,16.52361,1.47896,1.61827,224.483,4.20078,587.9917,0.426,0.945,1.96,173.4399418,173.4410958,159,2
0.122,0,0.009,0.01,0,0,0,0,0,0.859,510,10,170,10,5,3.103,3.009,755.713,27.425,299.465,12.994,15.4953,1.64499,54.2982,2.7015,2551.579,117.659,13.256,67.484,26.1324,79.194,120.079,0.33345,70.63,17.05152,1.50306,1.64499,224.934,4.25575,606.0252,0.09,1.103,1.991,167.628829,167.628829,315,9
0,0,0.044,0.015,0,0,0,0,0,0.941,493,2,193,5,10000,2.941,3.044,678.55,28.583,290.833,12.747,10.7712,1.61826,45.655,2.96089,2499.457,119.593,13.689,72.265,26.833,78.351,121.784,0.34866,69.249,16.50185,1.47872,1.61826,224.535,4.19975,587.1965,0.44,0.941,1.956,173.5523349,173.5523349,166.72,19
0,0,0,0.0132,0,0,0.0074,0.0079,0.0452,0.9263,0,0,0,0,100000,3.0394,3.0679,702.1581,28.3898,289.8437,12.438,10.90469,1.599281,40.2765,2.933132,2495.8785,121.4726,13.7922,75.465,28.3749,77.5849,122.8643,0.347225,67.2464,16.616749,1.468725,1.599281,223.7549,4.188345,586.87864,0.2487,0.9263,2,177.2274861,177.2604214,438,19
0.09,0.0005,0.035,0.003,0.0005,0,0,0,0,0.871,505,10,260,5,5,3.0515,3.036,743.024,28.4095,298.63,12.984,14.311375,1.64548,53.61485,2.887695,2549.873,118.427,13.6615,70.0445,26.7975,80.351,120.551,0.33769,70.3735,16.766385,1.50356,1.64548,225.0735,4.251815,602.83535,0.358,1.051,1.965,170.7405876,170.7408807,207,1.5
0.0525,0,0.0112,0.0055,0,0,0,0,0,0.9308,0,0,0,0,10000,3.0358,3.0112,704.29,27.4504,295.6359,12.9696,12.77801,1.626823,48.36,2.745352,2531.6246,118.0834,13.2262,69.327,26.2074,77.8063,120.7082,0.342733,69.7442,16.77305,1.485991,1.626823,224.9345,4.224925,591.141,0.112,1.0358,1.9888,170.0257122,170.0257122,99,12.1
0.0047,0,0,0.141,0,0,0.0017,0.0031,0,0.8495,0,0,325,8,100000,2.8654,3.0065,666.8964,26.7463,270.6106,11.4074,10.63665,1.567812,37.28192,2.568819,2323.4788,122.1283,12.9344,66.3742,24.75314,71.7186,124.0167,0.340695,68.6638,17.631938,1.436167,1.567812,220.4896,4.09238,601.29165,0.0065,0.8589,2,166.3965829,166.3992529,380,15
0.1081,0,0.0027,0.0056,0,0.0015,0,0,0,0.8821,505,4,0,0,100000,3.1013,3.0042,744.1109,27.2227,299.4275,13.0276,14.95534,1.640347,52.70246,2.674173,2553.4518,117.5544,13.1592,67.6047,26.05762,78.6446,120.1192,0.335539,70.3409,17.005723,1.498374,1.640347,224.9961,4.249925,601.47589,0.03,1.0983,1.9973,167.8269732,167.8279929,142.15,22.82
0.002,0.005,0.005,0.0058,0.065,0,0,0,0,0.9172,0,0,0,0,1,2.9262,3.075,652.365,29.7846,281.17,12.8382,10.57625,1.61399,40.3753,3.039384,2408.6188,120.0276,14.2412,73.284,27.4432,76.2682,121.271,0.342542,69.7352,16.516216,1.483748,1.61399,222.8292,4.19505,601.88244,0.73,0.9212,1.995,174.7023662,174.7395944,172,5
0.007,0,0.003,0.01,0,0,0,0,0,0.98,515,4,160,6,10000,2.994,3.003,666.453,27.088,291.833,12.891,10.962,1.6099,43.4292,2.70649,2507.506,118.302,13.045,69.769,25.9774,76.05,121.163,0.34846,69.099,16.68817,1.47033,1.6099,224.704,4.19675,580.9707,0.03,0.994,1.997,170.6776388,170.6776388,295,10
0,0,0.044,0,0,0,0,0,0.003,0.953,415,2.5,0,0,5,2.959,3.047,680.458,28.682,293.089,12.894,10.8087,1.62258,46.171,2.98975,2519.518,119.317,13.74,73.024,27.1285,78.948,121.538,0.34947,69.201,16.38557,1.48271,1.62258,224.976,4.21175,585.212,0.455,0.953,1.956,174.4535335,174.4552224,75,20
0,0,0.0424,0.0197,0,0,0,0,0.0056,0.9323,0,0,0,0,100000,2.9435,3.048,681.1046,28.6105,289.6375,12.6649,10.77212,1.61605,45.0921,2.973027,2490.1071,119.9175,13.7259,72.7683,27.0551,78.3493,121.9612,0.348226,69.1171,16.517123,1.477872,1.61605,224.3445,4.197225,588.46511,0.452,0.9323,1.9576,174.1251384,174.128297,255,8
0.17,0.001,0.045,0.0055,0.0005,0,0,0,0.0005,0.7775,0,0,0,0,500,3.1195,3.047,808.301,28.8755,303.558,13.011,17.476175,1.67091,61.4702,2.92324,2577.1525,118.245,13.911,68.8765,27.06575,82.9025,119.9255,0.326995,71.451,17.00374,1.52751,1.67091,225.154,4.29293,621.80505,0.4635,1.1175,1.955,169.1160608,169.116647,241,1
0.1,0,0,0.0035,0,0,0,0,0,0.8965,300,1,0,0,10000,3.0965,3,735.365,27.0895,299.0225,13.0615,14.623,1.63795,51.9095,2.659605,2552.0985,117.3945,13.0965,67.6125,25.9885,78.2915,120.07,0.33679,70.2965,16.975045,1.49616,1.63795,225.0915,4.247375,598.87105,0,1.0965,2,167.8688557,167.8688557,86.5,13.63
0.07,0.001,0.0005,0.0005,0.0005,0,0,0,0,0.9275,540,10,0,0,5,3.0685,3.002,713.7455,27.135,297.508,13.058,13.452575,1.630535,49.3092,2.684135,2544.513,117.587,13.098,68.5675,26.085,77.7875,120.327,0.340755,69.8995,16.844195,1.489185,1.630535,225.113,4.23543,592.54755,0.016,1.0675,1.9995,169.0978153,169.0981112,69,21
0,0,0,0.04,0,0,0.004,0.007,0.005,0.944,0,0,325,2,100000,2.969,3.02,673.477,27.352,287.358,12.424,10.7108,1.59483,40.882,2.70221,2469.287,120.109,13.184,69.656,25.9565,74.931,122.449,0.34692,68.269,16.94792,1.45816,1.59483,223.379,4.1616,585.2176,0.04,0.944,2,170.4936774,170.5025236,504,7.3
